Téléphone-mania;
1;[intro]
9;Matin, midi et soir, je scrolle sans répit
11;Instagram, Snapchat, je suis toujours en éveil
13;Un message, une notification, c'est mon instant de joie
15;Je suis captivé, connecté, au bout de mes doigts
17;Je suis accro, accro, à mon téléphone,
19;Toujours collé à lui, comme une ventouse, oh-oh!
21;Dans ma main, c'est ma drogue, ma zone,
23;Je suis en plein délire, complètement phone-mania, oh-oh!
25;[ … ]
29;J'ai des smiles partout dans mes conversations,
31;Même en croisant tes yeux, j'reste connectée à ma passion,
33;Facebook, Snapchat, Instagram, tout ça j'adore,
35;Je suis une geekette, une tech-addict, encore et encore!
37;Je suis accro, accro, à mon téléphone,
39;Toujours collé à lui, comme une ventouse, oh-oh!
41;Dans ma main, c'est ma drogue, ma zone,
43;Je suis en plein délire, complètement phone-mania, oh-oh!
45;[ solo ]
53;Je suis accro, accro, à mon téléphone,
55;Toujours collé à lui, comme une ventouse, oh-oh!
57;Dans ma main, c'est ma drogue, ma zone,
59;Je suis en plein délire, complètement phone-mania, oh-oh!
61;[outro]
63;
