J'accroche à tout le monde;
1;[intro]
9;I'm a bit naïve, it's my specialty,
11;I get swept away by their simplicity,
13;They speak with ease, with great eloquence,
15;And I fall into their trap with innocence.
17;I latch on to everyone, it’s my weakness,
19;Easily convinced, without much finesse,
21;All the smooth talkers, the persuaders,
23;I latch on to everyone, even the deceivers.
25;[ … ]
29;Enticing promises, they spin my head,
31;I get caught up in their abstract threads,
33;They use their smiles like deadly charms,
35;And I find myself trapped by their chaotic alarms.
37;I latch on to everyone, it’s my weakness,
39;Easily convinced, without much finesse,
41;All the smooth talkers, the persuaders,
43;I latch on to everyone, even the deceivers.
45;[ solo ]
53;I latch on to everyone, but I'm growing bit by bit,
55;I’m starting to understand, not to be misled by wit,
57;Maybe one day I’ll become more cynical,
59;But for now, I still cling to all that’s whimsical.
61;[ outro ]
63;
