Facilement convaincu;
1;[intro]
9;A salesman told me to buy this car,
11;Even though it's broken, I believed it at the start.
13;I wanted to impress my lovely neighbor Marie,
15;"But she said, ""Oh dear, you’ve been deceived by me."""
17;I'm easily convinced,
19;Always ready to believe what they hint,
21;I’m like a sponge, I’m hooked,
23;All these tales make me dizzy and booked.
25;[ … ]
29;A guru told me to follow his creed,
31;That paying for his sessions would fulfill my need.
33;But I realized I was wasting my time,
35;So I ran away, escaping the climb.
37;I’m easily convinced,
39;I fall for every trap that’s been pinched,
41;But deep down, I don’t want to defend,
43;For it makes me laugh, makes my life transcend.
45;[ solo ]
53;I’m easily convinced,
55;I listen to others without much thought for me,
57;I live my life like a student eternally,
59;Always ready to learn, even from my misdeeds.
61;[outro]
63;
