Je suis pas au top;
1;[intro]
9;J'me lève le matin, pas du tout bien fringué
11;Mes cheveux en bataille, j'suis pas ready
13;J'cherche mes clés, mais où sont-elles cachées?
15;J'suis pas au top, t'as trop de chance, t'as deviné!
17;Je suis pas au top, non je suis pas au top
19;Ma vie est un flop, tout part à vau-l'eau
21;Je suis pas au top, non je suis pas au top
23;Mais je m'en fous, j'profite, j'mets le feu à tous les topos
25;[ … ]
29;J'regarde dans l'miroir, j'ai l'air d'un clown
31;La mode passe, moi j'suis toujours dans l'rétro
33;Mes chaussettes dépareillées, j'suis dans l'tourbillon
35;J'suis pas au top, mais j'm'éclate, ça fait marrer les bobos!
37;Je suis pas au top, non je suis pas au top
39;Ma vie est un flop, tout part à vau-l'eau
41;Je suis pas au top, non je suis pas au top
43;Mais je m'en fous, j'profite, j'mets le feu à tous les topos
45;[ solo ]
53;Je suis pas au top, non je suis pas au top
55;Ma vie est un flop, tout part à vau-l'eau
57;Je suis pas au top, non je suis pas au top
59;Mais je m'en fous, j'profite, j'mets le feu à tous les topos
61;[outro]
63;
