Les petites choses de la vie;
1;[intro]
9;Dans ma vie, y'a des trucs bizarres
11;Des situations, qui me font marrer
13;Je vois des choses, que personne ne voit
15;Je trouve ça assez fascinant, ça c'est sûr
17;Je trouve ça fascinant, c'est vraiment magique
19;Les petites choses qui rendent la vie comique
21;Dans ce monde insensé, je ris à gorge déployée
23;Je trouve ça fascinant, rien ne peut m'arrêter
25;[ … ]
29;Quand je sors, je fais le show
31;Les gens me regardent d'un air bizarre
33;Je danse comme un pingouin, complètement fou
35;Je trouve ça assez fascinant, ouais c'est vrai
37;Je trouve ça fascinant, c'est vraiment magique
39;Les petites choses qui rendent la vie comique
41;Dans ce monde insensé, je ris à gorge déployée
43;Je trouve ça fascinant, rien ne peut m'arrêter
45;[ solo ]
53;Je trouve ça fascinant, c'est vraiment magique
55;Les petites choses qui rendent la vie comique
57;Dans ce monde insensé, je ris à gorge déployée
59;Je trouve ça fascinant, rien ne peut m'arrêter
61;[outro]
63;
