Vive le bordel;
1;[intro]
9;In the morning, I wake up, everything seems neat,
11;But soon, I’m tempted to turn it all to defeat.
13;I pair my socks with my shoes, so unaligned,
15;Daily routines, I love to undermine.
17;In my well-ordered life, everything's in place,
19;But I can’t help but make a mess with grace.
21;I see no point in staying all too prim,
23;So here's to the chaos, let me live on a whim!
25;[ … ]
29;At home, the furniture's all in its place,
31;But I prefer to move it, to change its space.
33;A bit of chaos clears my mind so free,
35;Let things live and dance in a sweet disarray.
37;In my well-ordered life, everything's in place,
39;But I can’t help but make a mess with grace.
41;I see no point in staying all too prim,
43;So here's to the chaos, let me live on a whim!
45;[ solo ]
53;Let me live my life, full of disorder and spree,
55;Chaos gives me energy, it's my melody.
57;I see no point in bending to conventions so tight,
59;So here's to the mess, it’s my own fight!
61;[outro]
63;
