Le squash, ça déchire!;
1;[intro]
9;Dans ma tenue fluo, je suis prêt à tout donner
11;Je bondis comme un kangourou, prêt à tout écraser
13;Je fais des pirouettes, des sauts acrobatiques
15;Au squash, je suis le roi, c'est ma musique magique
17;Quand je prends ma raquette, ça fait des étincelles
19;Le squash, c'est ma passion, c'est la belle vie, c'est le ciel
21;Je glisse sur le court, je frappe la balle en plein vol
23;Le squash, ça déchire, c'est mon sport préféré, c'est mon rôle
25;[ … ]
29;Avec mes coups puissants, je défie les lois de la gravité
31;Je fais tourner les têtes, j'ai le style avec élégance
33;Je suis le cascadeur du squash, le virtuose, le showman
35;Sur le court, c'est mon spectacle, ma performance, mon roman
37;Quand je tape dans la balle, je suis invincible
39;Je dépasse tous les obstacles, je suis irrésistible
41;Le squash, c'est ma drogue, mon adrénaline, ma folie
43;Je fais l'unanimité, je suis la star du court, tout le monde applaudit
45;[ solo ]
53;Quand je quitte le court, je suis épuisé mais satisfait
55;Le squash, c'est ma dose de bonheur, ma dose de gaîté
57;Je suis un champion dans l'âme, je suis fait pour ça
59;Le squash, ça déchire, il n'y a rien de mieux, c'est comme ça !
61;[outro]
63;
