Swing ton squash;
1;[intro]
9;Au club de sport, un rendez-vous
11;Sous les néons, on se met à genoux
13;Les balles fusent, comme des hiboux
15;On joue au squash, c'est le goût du fou
17;Swing, swing ton squash
19;Sur le court, les échanges sont splash
21;La raquette virevolte, ça part en clash
23;Swing, swing ton squash, n'en perds pas la éclate !
25;[ … ]
29;Je saute, je glisse, je suis comme un tigre
31;Le filet est un défi, je m'y livre
33;Les adversaires tremblent, ils transpirent
35;Je domine le terrain, c'est fou rire
37;Swing, swing ton squash
39;Sur le court, les échanges sont splash
41;La raquette virevolte, ça part en clash
43;Swing, swing ton squash, n'en perds pas la éclate !
45;[ solo ]
53;Alors, allez-y, dansez votre squash
55;Amusez-vous, faites vibrer le sol en crash
57;Car rien ne vaut un bon jeu de balle frappée
59;Swing ton squash, pour toujours s'éclater !
61;[outro]
63;
