La magie des lieux publics;
1;intro]
9;In the bustling streets, I marvel at the scene,
11;Public places, they're my dream,
13;The crowded subway, it's my cinema,
15;The moving crowd, it's my opera.
17;In public spaces, there’s magic to see,
19;Every moment is a symphony,
21;The laughter, the shouts, the conversations,
23;A fascination for these destinations.
25;[ … ]
29;At a café terrace, I take my place,
31;The passing people, I engage with grace,
33;The hurried waiters, the lively scene,
35;In this cacophony, I feel serene.
37;In public spaces, there’s magic to see,
39;Every moment is a symphony,
41;The laughter, the shouts, the conversations,
43;A fascination for these destinations.
45;[ solo ]
53;In public spaces, I feel at home,
55;It’s where I come alive, it’s my zone,
57;So join me, let’s have some fun,
59;In the madness of public places, let yourself run.
61;[outro]
63;
