Toujours indécis;
1;[intro]
9;I am the king of procrastination,
11;I push everything to the last occasion.
13;I prefer to stay flexible, with no commitment,
15;The world is my playground, pure amusement.
17;I’m always indecisive, I love surprise,
19;No need to decide, it keeps me at ease.
21;I float in uncertainty, in the unforeseen,
23;I like to keep all options, even after midnight.
25;[ … ]
29;I struggle to choose just one direction,
31;I’d rather explore all options with affection.
33;I’m an adventurer of the unpredictable,
35;Every moment is a surprise, a treasure indescribable.
37;Always indecisive, that’s my identity,
39;I enjoy each moment, it’s my liberty.
41;No need to plan or organize,
43;I’m free as the air, it’s my favorite prize.
45;[ solo ]
53;I’m always indecisive, I love surprise,
55;No need to decide, it keeps me at ease.
57;I float in uncertainty, in the unforeseen,
59;I like to keep all options, even after midnight.
61;[outro]
63;
