Au gré des envies;
1;[intro]
9;Le matin, je me réveille sans contrainte
11;Pas de to-do list qui me hante
13;Je m'écoute, je suis mon instinct
15;Pas de pression qui me tente
17;Je vis ma vie sans plan précis
19;Je préfère prendre tout à l'instant
21;Chaque jour une nouvelle devise
23;Au gré de mes envies, je m'épanouis tant
25;[ … ]
29;Pas besoin d'un plan de carrière
31;Je suis ma propre visionnaire
33;Je danse sur le fil du hasard
35;Et je ris de toutes mes éclats
37;Je suis libre comme l'air dans le vent
39;Je laisse mes options ouvertes vraiment
41;Chaque instant est une nouvelle destination
43;Au gré de mes envies, je fais ma révolution
45;[ solo ]
53;Je suis un papillon qui vole sans fin
55;Je croque la vie à pleines dents
57;Rien ne peut m'arrêter, c'est certain
59;Je suis l'artiste incontrôlable, brillant.
61;[outro]
63;
