Ce bistrot charmant;
1;[intro]
9;We step into this cozy café,
11;Where smiles light up every face.
13;With a glass in hand, we toast to cheer,
15;Here, all our troubles disappear.
17;In the bistro, the mood is bright,
19;We sing and laugh, and feel delight.
21;In the bistro, joy is all around,
23;Join me here where happiness is found.
25;[ … ]
29;An accordionist plays with flair,
31;The waiters dance through the air.
33;Friends and strangers, a festive crew,
35;In this bistro, we bid our blues adieu.
37;In the bistro, the mood is bright,
39;We sing and laugh, and feel delight.
41;In the bistro, joy is all around,
43;Join me here where happiness is found.
45;[ solo ]
53;So come to this charming place,
55;Where love and laughter fill the space.
57;Here, everything’s a joyful sight,
59;In this warm haven that feels so right.
61;[ outro ]
63;
