Je me moque!;
1;[intro]
9;In this complex world, with so much at stake,
11;I don’t care, I’d rather entertain for fun's sake.
13;No need to pick sides in every story told,
15;I just want to see folks laughing and bold.
17;I mock it all, I’m not too serious,
19;Controversy’s dull, it’s just too tedious.
21;I prefer the laughs, the jokes, and the play,
23;Living light-hearted, not taking life too seriously each day.
25;[ … ]
29;Debates and verbal fights are not for me,
31;I’d rather embrace jokes and let them be.
33;In this sea of tension, I sail with ease,
35;I disregard scandals and friendships I please.
37;I mock it all, a bit whimsical too,
39;Controversies just drift right over my view.
41;Nothing stops me, I spread cheer in song,
43;My goal is to make people smile all along.
45;[ solo ]
53;So friends, don’t take life too seriously,
55;Life’s too short for debates so endlessly.
57;Let’s choose laughter and moments so light,
59;For that’s what makes friendship truly bright.
61;[outro]
63;
