Le désordre raconte quelque chose;
1;[intro]
9;Dans ma chambre, c'est un cirque
11;Un vrai désordre, c'est pas chic
13;Des chaussettes sous mon lit
15;Et des livres qui se sont enfuis
17;Le désordre raconte quelque chose
19;Dans ce chaos, la vie explose
21;Des objets perdus, des histoires cachées
23;Dans cette pagaille, tout peut arriver
25;[ … ]
29;Mon placard, un vrai capharnaüm
31;Des vêtements, c'est un joyeux méli-mélo
33;Ma robe se cache derrière mon pyjama
35;Quel éclat de rire, quel drôle de drama
37;Le désordre raconte quelque chose
39;Dans ce chaos, la vie explose
41;Des objets perdus, des histoires cachées
43;Dans cette pagaille, tout peut arriver
45;[ solo ]
53;Le désordre raconte quelque chose
55;Dans ce chaos, la vie explose
57;Des objets perdus, des histoires cachées
59;Dans cette pagaille, tout peut arriver
61;[outro]
63;
