Le kitch est chic;
1;[intro]
9;Every day, I dress in neon bright,
11;Sparkles all around, from top to bottom, what a sight.
13;Striped socks, polka-dot shoes, it’s quite a show,
15;I’m the king of bad taste, don’t you know?
17;Bad taste is my creed,
19;In this era, I make it a deed.
21;Kitsch is chic, I’m in the groove,
23;I make everyone dance, and we move!
25;[ … ]
29;My home looks like a carnival fair,
31;Animal portraits in high heels, quite rare.
33;My couch is shaped like a unicorn’s flair,
35;I take you to my world, where ugliness is laid bare.
37;Bad taste is my creed,
39;In this era, I make it a deed.
41;Kitsch is chic, I’m in the groove,
43;I make everyone dance, and we move!
45;[ solo ]
53;Bad taste is my creed,
55;In this era, I make it a deed.
57;Kitsch is chic, I’m in the groove,
59;I make everyone dance, and we move!
61;[outro]
63;
