Le bric-à-brac des avis;
1;[intro]
9;Dans ce monde bien curieux, tout le monde a son avis
11;On aime bien discuter, même quand on est pas d'accord, c'est ainsi
13;Les uns disent oui, les autres disent non, chacun sa conviction
15;Mais quand on se réunit, c'est le grand clash des opinions
17;Le bric-à-brac des avis, ça part dans tous les sens
19;On s'écoute à peine, on parle beaucoup plus fort, il faut que ça danse
21;Le bric-à-brac des avis, ça fait des étincelles
23;Mais au fond de tout ce tintamarre, la vérité reste belle
25;[ … ]
29;Certains sont radicaux, ils ont toujours raison
31;D'autres sont hésitants, ils cherchent la perfection
33;Mais moi je dis qu'on peut s'entendre même sans être d'accord
35;Laissons-nous un peu de place, trouvons un terrain d'entente en or
37;Le bric-à-brac des avis, ça part dans tous les sens
39;On s'écoute à peine, on parle beaucoup plus fort, il faut que ça danse
41;Le bric-à-brac des avis, ça fait des étincelles
43;Mais au fond de tout ce tintamarre, la vérité reste belle
45;[ solo ]
53;Le bric-à-brac des avis, c'est notre drôle de danse
55;Dans ce joyeux désordre, on trouve l'équilibre et l'aisance
57;Alors chantons tous ensemble, dans ce monde en désaccord
59;Le bric-à-brac des avis, c'est notre rire de toujours
61;[outro]
63;
