Tous les avis;
1;[intro]
9;Sur les réseaux, c'est un défouloir de haine
11;Chacun son mot à dire, même les pierres sont en scène
13;Mais moi je préfère faire danser les cœurs
15;Sur des notes légères, oublier tous ces malheurs
17;Tous les avis, tous les avis, ça peut rendre fou
19;On aime gronder, critiquer, c'est fou le tracas
21;Mais moi je dis, moi je dis, peace and love pour tous
23;Tolerons-nous, celebrons-nous, c'est tellement plus cool
25;[ … ]
29;J'ai des amis qui me disent quoi penser
31;Mais dans ma tête, je préfère tout chambouler
33;Car le monde est plus beau quand on se libère
35;Des chaînes du jugement, on peut être sincère
37;Tous les avis, tous les avis, on s'en fiche un peu
39;Mon sourire éclatant, ça les laisse sans voix
41;On peut pas plaire à tout le monde, c'est bien connu
43;Alors dansons, chantons, soyons fiers de nos choix
45;[ solo ]
53;Tous les avis, tous les avis, ça m'amuse tant
55;Je suis moi, tu es toi, on est différents
57;Dans la diversité, y'a de quoi s'éclater
59;Danser ensemble, rire ensemble, partager la liberté
61;[outro]
63;
