La course des idées;
1;[intro]
9;Assis dans mon fauteuil, à penser sans fin,
11;Les idées réflexes, ça n'a pas de fin.
13;Une brume s'installe, dans mon cerveau en vrac,
15;Je cherche la solution, mais je ne la trouve pas.
17;Oh les idées réflexes, dans ma tête qui s'amusent,
19;Elles se font la course, telle une drôle de ruse.
21;Des pensées tourbillonnent, dans mon esprit confus,
23;Les idées réflexes, ça me rend un peu f(l)ou !
25;[ … ]
29;Quand je dors la nuit, tourmenté par le doute,
31;Les idées réflexes me tiennent en déroute.
33;Je me réveille en sursaut, avec des questions plein la tête,
35;Les idées réflexes, jamais elles ne s'arrêtent.
37;Oh les idées réflexes, dans ma tête qui s'amusent,
39;Elles se font la course, telle une drôle de ruse.
41;Des pensées tourbillonnent, dans mon esprit confus,
43;Les idées réflexes, ça me rend un peu f(l)ou !
45;[ solo ]
53;Alors je ris de moi-même, de ces idées farfelues,
55;Je m'amuse avec mes pensées, même si c'est un peu hasardeux.
57;Car après tout, dans ce monde si sérieux,
59;Les idées réflexes sont mon petit jeu !
61;[outro]
63;
