Réflexes en folie;
1;[intro]
9;Je me réveille le matin, un verre d'eau à la main
11;Mes idées fusent, c'est comme un marathon
13;Je cours dans tous les sens sans vraiment de direction
15;Mais c'est dans ce désordre que je trouve ma passion
17;Les idées réflexes, oh quelle folie
19;Dans ma tête ça fuse, ça tourbillonne, je m'éclate, oui
21;Les idées réflexes, je ne peux pas les contrôler
23;Mais c'est dans le chaos que je me sens envolée
25;[ … ]
29;Au supermarché, j'essaie de faire mes courses
31;Mais mon caddie se transforme en un grand parcours
33;Je zigzag entre les rayons, sans faire attention
35;Et les gens me regardent, sans comprendre ma situation
37;Les idées réflexes, oh quelle folie
39;Dans ma tête ça fuse, ça tourbillonne, je m'éclate, oui
41;Les idées réflexes, je ne peux pas les contrôler
43;Mais c'est dans le chaos que je me sens envolée
45;[ solo ]
53;Les idées réflexes, oh quelle folie
55;Dans ma tête ça fuse, ça tourbillonne, je m'éclate, oui
57;Les idées réflexes, je ne peux pas les contrôler
59;Mais c'est dans le chaos que je me sens envolée
61;[outro]
63;
