Le thé ça déchire mon palais;
1;[intro]
9;In my life, everyone used to say,
11;Tea was for the old, stuck in yesterday.
13;But one day I dared, made my own choice,
15;Now tea makes my voice dance with joy and rejoice.
17;Tea, oh tea, it never seems so grand,
19;But once you taste it, my palate's in a dance band.
21;Tea, oh tea, it's seriously divine,
23;Just need to choose the best one to be fine.
25;[ … ]
29;Then I discovered every kind and style,
31;Green, black, and infusions that beguile.
33;I tasted the wildest flavors and hues,
35;Now I'm hooked, can't seem to refuse.
37;Tea, oh tea, it never seems so grand,
39;But once you taste it, my palate's in a dance band.
41;Tea, oh tea, it's seriously divine,
43;Just need to choose the best one to be fine.
45;[ solo ]
53;Tea, oh tea, it never seems so grand,
55;But once you taste it, my palate's in a dance band.
57;Tea, oh tea, it's seriously divine,
59;Just need to choose the best one to be fine.
61;[ outro ]
63;
