Le thé, mon allier préféré;
1;[intro]
9;Quand le café fait vibrer tout l'monde autour
11;Moi, j'm'en fous, j'préfère mon thé tout court
13;Les gens boivent du noir, moi j'préfère du vert
15;Une infusion, c'est tout ce qu'il me faut offert
17;Le thé, c'est pas funky, c'est pas rock
19;Mais c'est bon, ça coule et ça ravigote
21;Le thé, tout doux dans une tasse en porcelaine
23;C'est mon allié, mon p'tit grain de malice
25;[ … ]
29;Le matin, quand tout est encore endormi
31;Je savoure mon thé, tranquille et sans souci
33;Les autres prennent du sucre, du lait, des histoires
35;Moi, je préfère le sentir sans artifices notoires
37;Le thé, c'est pas funky, c'est pas rock
39;Mais c'est bon, ça coule et ça ravigote
41;Le thé, tout doux dans une tasse en porcelaine
43;C'est mon allié, mon p'tit grain de malice
45;[ solo ]
53;Le thé, c'est pas funky, c'est pas rock
55;Mais c'est bon, ça coule et ça ravigote
57;Le thé, tout doux dans une tasse en porcelaine
59;C'est mon allié, mon p'tit grain de malice
61;[outro]
63;
