Gingembre lover;
1;[intro]
9;Dans mon verre, un secret à partager
11;Un breuvage qui va tout révéler
13;Le gingembre, bien plus qu'un simple parfum
15;Un voyage vers les saveurs divines
17;Gingembre, oh quel délice amer
19;Dans nos verres, la fête peut commencer
21;Gingembre, ensemble on va s'enivrer
23;Danse, ris et laisse-toi envoûter
25;[ … ]
29;Dans nos têtes, une ivresse enivrant
31;Sans excès, juste ce qu'il faut pour le temps
33;Les rires fusent, la folie s'installe
35;Le gingembre, un remède qui nous régale
37;Gingembre, oh quel délice amer
39;Dans nos verres, la fête peut commencer
41;Gingembre, ensemble on va s'enivrer
43;Danse, ris et laisse-toi envoûter
45;[ solo ]
53;Gingembre, cette liqueur est un trésor
55;On la célèbre, sans aucun remord
57;Savourons la vie, avec cette douce ivresse
59;Le gingembre, la clé de notre allégresse
61;[outro]
63;
