Gling gling gingembre;
1;[intro]
9;In my glass, ginger's in full swing,
11;The liqueur tickles my taste buds, what a zing!
13;A sparkling flavor, it makes my palate dance,
15;With this drink, life’s perfect at every glance.
17;Gling gling ginger, I’m cozy in my space,
19;A shot of joy, it warms my heart's embrace.
21;Gling gling ginger, oh such a tender treat,
23;I’m intoxicated by flavors, a festive feat.
25;[ … ]
29;When I sip my shot, energy starts to rise,
31;I twirl around, in a world of magic and surprise.
33;In a whirl of flavors, I dance without end,
35;Ginger intoxicates my senses, I’m completely content.
37;Gling gling ginger, happiness soars,
39;A touch of sweetness, I’m carried by the flowers.
41;Gling gling ginger, it’s a December celebration,
43;We toast without pause, always craving more sensation.
45;[ solo ]
53;Gling gling ginger, I’m cozy in my space,
55;A shot of joy, it warms my heart's embrace.
57;Gling gling ginger, oh such a tender treat,
59;I’m intoxicated by flavors, a festive feat.
61;[outro]
63;
