L'aventure inachevée;
1;[intro]
9;J'ai commencé un roman, sublime et captivant
11;Mais au bout de quelques chapitres, je me lasse en un instant
13;"Les personnages me crient ""Termine-nous, s'il te plaît !"""
15;Mais je m'envole déjà vers de nouveaux sommets
17;Je ne finis jamais les livres, quelle audace !
19;À peine la moitié, j'en perds la trace
21;Les pages me glissent entre les doigts
23;L'aventure inachevée, c'est mon émoi
25;[ … ]
29;Je m'embarque dans un polar, plein de suspense et d'énigmes
31;Mais la fin reste un mystère, je m'enfuis sans un signe
33;Les suspects se bousculent, dansent devant mes yeux
35;Mais je préfère partir, je ne les connais pas mieux
37;Je ne finis jamais les livres, quelle audace !
39;À peine la moitié, j'en perds la trace
41;Les pages me glissent entre les doigts
43;L'aventure inachevée, c'est mon émoi
45;[ solo ]
53;Je ne finis jamais les livres, quelle audace !
55;À peine la moitié, j'en perds la trace
57;Les pages me glissent entre les doigts
59;L'aventure inachevée, c'est mon émoi
61;[outro]
63;
