Finir les livres;
1;[intro]
9;I’ve got a library overflowing, full of books to explore,
11;But in my reading, I just can’t commit anymore.
13;I start a book with passion, all fired up inside,
15;But after a few pages, my enthusiasm subsides.
17;I can’t finish the books, it’s my reality,
19;The characters drown in endless obscurity.
21;I can’t finish the books, oh what a fate,
23;Leave me be with this burden, it's my own weight.
25;[ … ]
29;I always promise myself I'll complete them someday,
31;But between the pages, my interest just drifts away.
33;Distracted by screens and technology’s spree,
35;The books lie abandoned, gathering dust silently.
37;I can’t finish the books, it’s my reality,
39;The words get lost in an unfinished melody.
41;I can’t finish the books, oh what a fate,
43;Leave me be with this incapacity, it’s my state.
45;[ solo ]
53;I can’t finish the books, it’s my reality,
55;But in my songs, I’m a star of creativity.
57;I can’t finish the books, oh what a fate,
59;Leave me be with my unique trait.
61;[outro]
63;
