Vive la fête sans engagement;
1;[intro]
9;Dans ma vie, je fais ce que je veux,
11;Pas besoin de grandes idées sérieuses.
13;Je préfère les soirées et les feux,
15;Laissons la politique aux autres, merveilleuse !
17;Je veux m'amuser, me déconnecter,
19;Vive la fête sans engagement !
21;Danser toute la nuit, ne rien regretter,
23;Laissez-moi rire, sans jugement !
25;[ … ]
29;Pas besoin de me prendre la tête,
31;La légèreté est ma recette.
33;Je ne me lance pas dans les grandes causes,
35;Je préfère plaisanter et garder ma dose.
37;On s'en fiche des débats, des révolutions,
39;Vive la fête sans engagement !
41;Sans prise de tête, vive les illusions,
43;Liberté de penser sans jugement !
45;[ solo ]
53;Je veux m'amuser, me déconnecter,
55;Vive la fête sans engagement !
57;Danser toute la nuit, ne rien regretter,
59;Laissez-moi rire, sans jugement !
61;[outro]
63;
