Pas de soucis, que des sourires;
1;[intro]
9;In this world where everything’s gray,
11;We add some color and it lights the way.
13;Criticism just makes us laugh,
15;We move on without a second thought to craft.
17;We rarely face negative remarks,
19;For we keep a spirit bright and stark.
21;Let’s leave the criticism far behind,
23;We’re here to enjoy life, unwind!
25;[ … ]
29;We refuse to let it bring us down,
31;Criticism slides off, it won’t make us frown.
33;Every day, we write our own tale,
35;And erase the negativity without fail.
37;With our positive energy we thrive,
39;Like a glowing firefly, we come alive.
41;Negative comments take a detour,
43;Our joy is our only allure!
45;[ solo ]
53;We rarely face negative remarks,
55;For we keep a spirit bright and stark.
57;Let’s leave the criticism far behind,
59;We’re here to enjoy life, unwind!
61;[outro]
63;
