Flou artistique;
1;[intro]
9;Dans ma vie, tout est compliqué
11;Je me perds, je ne sais plus où aller
13;Les choix, ça me fait paniquer
15;Parfois, j'ai pas d'avis à donner
17;J'suis dans l'ambiguïté, dans l'indécision
19;Dans ce flou artistique, sans direction
21;Mais au fond, ça m'fait rire, ça m'fait du bien
23;De pas avoir d'avis, ça vaut bien un refr'ain
25;[ … ]
29;J'entends les gens parler, ils ont l'air sûrs
31;De leurs opinions, de leur futur
33;Moi, j'me laisse porter par les embruns
35;Parfois, j'ai pas d'avis, c'est mon destin
37;J'suis dans l'ambiguïté, dans l'indécision
39;Dans ce flou artistique, sans direction
41;Mais au fond, ça m'fait rire, ça m'fait du bien
43;De pas avoir d'avis, ça vaut bien un refr'ain
45;[ solo ]
53;Parfois, j'ai pas d'avis, c'est mon choix
55;Je vis ma vie sans me soucier des droits
57;Dans ce monde fou, je suis un ovni
59;Moi, le chanteur déjanté, sous les projecteurs, m'sieur Fantaisie.
61;[outro]
63;
