Le monde des futilités;
1;[intro]
9;Je m'émerveille devant les boutons de ma chemise,
11;Je compte les grains de riz dans mon assiette,
13;Je trouve des trésors dans les crottes de souris,
15;Les futilités, c'est ma vie secrète.
17;Dans le monde des futilités,
19;On ne parle que de l'insignifiant,
21;Des petits riens qui font rire et chanter,
23;La légèreté, voilà le bon chemin.
25;[ … ]
29;Je collectionne les chaussettes dépareillées,
31;J'observe le vol hypnotique des mouches,
33;Je m'émerveille devant une pelote de laine enchevêtrée,
35;Les futilités sont mes péchés mignons, avoue !
37;Dans le monde des futilités,
39;Oubliez tous vos soucis et tracas,
41;On s'amuse sans jamais se lasser,
43;Dans ce royaume, le temps ne compte pas.
45;[ solo ]
53;Dans le monde des futilités,
55;On ne parle que de l'insignifiant,
57;Des petits riens qui font rire et chanter,
59;La légèreté, voilà le bon chemin.
61;[outro]
63;
