Cheap, cheap, cheap;
1;[intro]
9;Dans la vie, faut pas se prendre au sérieux
11;On s'en fiche si tout est un peu cheap
13;Les paillettes et les strass, c'est pas pour nous
15;On préfère les trucs simples qui nous rendent fous
17;Car on est cheap, cheap, cheap
19;On embrasse la vie sans être dans le bling-bling
21;Cheap, cheap, cheap
23;Et ça, ça nous rend heureux, c'est ça qui nous fait swing
25;[ … ]
29;On a pas besoin de tout cet attirail
31;Pour briller, on n'a pas besoin de cristal
33;Un sourire, deux mains chaudes, c'est bien mieux
35;Faisons de l'amour, pas de l'argent, entrons dans la danse
37;Car on est cheap, cheap, cheap
39;On embrasse la vie sans être dans le bling-bling
41;Cheap, cheap, cheap
43;Et ça, ça nous rend heureux, c'est ça qui nous fait swing
45;[ solo ]
53;Alors, oublie le luxe et les faux-semblants
55;Viens dans notre monde, fais partie du mouvement
57;Car on est cheap, et fière de l'être
59;Et ensemble, on va faire trembler cette planète
61;[outro]
63;
