Ma folie, mon plus grand atout;
1;[intro]
9;In this world, I’ve searched every nook,
11;For what makes me unique, a divine hook,
13;I’ve looked around, but I’m no detective,
15;In the end, it’s my style that’s so effective.
17;It’s my look that gives me pep,
19;My madness, my greatest asset, oh yes,
21;What shapes my identity?
23;It’s my difference that clearly shines for me.
25;[ … ]
29;Everyone follows fashion like soldiers in line,
31;But I dance in my polka-dot socks, just fine!
33;In my life, I’m a brand new architect,
35;Building my identity with colors, perfect and direct.
37;It’s my look that gives me pep,
39;My madness, my greatest asset, oh yes,
41;What shapes my identity?
43;It’s my difference that clearly shines for me.
45;[ solo ]
53;It’s my look that gives me pep,
55;My madness, my greatest asset, oh yes,
57;What shapes my identity?
59;It’s my difference that clearly shines for me.
61;[outro]
63;
