Les pensées farfelues;
1;[intro]
9;When I close my eyes, I start to soar,
11;In my mind, it's a wild ride, I swear.
13;Ideas burst forth, without a word,
15;I get lost in my dreams, and I don’t care.
17;In my mind, it’s a show,
19;Crazy ideas and whimsical thoughts flow.
21;And I think it's just grand,
23;Getting lost in my head, it's cool, man!
25;[ … ]
29;I imagine a world so magical,
31;Unicorns dance with penguins, fantastical.
33;I even met a fantastic llama,
35;In my mind, everything turns to drama.
37;In my mind, it’s a show,
39;Crazy ideas and whimsical thoughts flow.
41;And I think it's just grand,
43;Getting lost in my head, it's cool, man!
45;[ solo ]
53;In my mind, it’s a show,
55;Crazy ideas and whimsical thoughts flow.
57;And I think it's just grand,
59;Getting lost in my head, it's cool, man!
61;[outro]
63;
