Perdu dans ma bulle;
1;[intro]
9;In my little head, I take a stroll,
11;A wild world where I escape my role.
13;No need for GPS or a map,
15;I get lost and love it, it's a blast.
17;Lost in my bubble, I'm flying high,
19;Ideas burst forth, it's a wild ride.
21;I'm a genius in my own crazy spree,
23;And I think it's cool, yeah, that's the key.
25;[ … ]
29;In my bubble, everything’s bright,
31;A rainbow of dreams lighting the night.
33;I write my songs, invent new tales,
35;And dance in my head, it never fails.
37;Lost in my bubble, I'm flying high,
39;Ideas burst forth, it's a wild ride.
41;I'm a genius in my own crazy spree,
43;And I think it's cool, yeah, that's the key.
45;[ solo ]
53;So join me, dive into the imagination,
55;Let’s escape together, it’s our liberation.
57;Let’s get lost in our wild dreams,
59;And find it cool, forever it seems.
61;[outro]
63;
