Dans ma bulle;
1;[intro]
9;Je m'évade, je pars loin d'ici
11;Dans mon monde à moi, tout est permis
13;J'invente des histoires, je fais le show
15;La réalité, c'est trop ringard, trop flou
17;Dans ma bulle, je m'envole
19;Perdu dans ma tête, j'ai le contrôle
21;Je fuis le réel, je suis dans ma zone
23;Et je trouve ça vraiment trop cool !
25;[ … ]
29;J'ai des licornes qui me suivent partout
31;Des pandas qui dansent et des singes fous
33;Dans mon esprit, tout est déjanté
35;La fantaisie règne en roi et en sérénité
37;Dans ma bulle, je me sens bien
39;Là où mes rêves prennent enfin le chemin
41;Je suis un artiste, un vrai guignol
43;Et je trouve ça vraiment trop cool !
45;[ solo ]
53;Dans ma bulle, je suis libre et loufoque
55;Je m'évade sans retenue, je débloque
57;La folie guide mes pas, c'est mon école
59;Dans ma bulle, j'ai toujours la banane en farandole !
61;[outro]
63;
