Foufou;
1;[intro]
9;In this world so dull and gray,
11;Where everyone just wants to shine all day,
13;I'm here to turn it all around,
15;With my quirky ideas, let’s astound!
17;If you own it, it’s good taste,
19;Let your wild side make haste,
21;Forget the norms and the taboos,
23;Come and have fun with us, it’s true!
25;[ … ]
29;They say it’s bad taste,
31;When I dance like a madman, in every space,
33;But I don’t care, I’m free at all ends,
35;I’m the king, yeah baby, it’s my trend!
37;If you own it, it’s good taste,
39;Let your wild side make haste,
41;Forget the norms and the taboos,
43;Come and have fun with us, it’s true!
45;[ solo ]
53;If you own it, it’s good taste,
55;Let your wild side make haste,
57;Forget the norms and the taboos,
59;Come and have fun with us, it’s true!
61;[outro]
63;
