1;[intro]
9;Dans mes textes naïfs, je veux semer la joie
11;Sans intention de blesser, de causer des émois
13;Chacun peut y trouver ce qu'il veut, c'est vrai
15;Mais mon but est de vous faire sourire à tout jamais
17;Dans mes chansons joyeuses, venez vous émerveiller
19;Il n'y a pas de limites, laissez-vous emporter
21;Je veux juste répandre la bonne humeur autour de moi
23;Sans aucune intention de nuire, juste de vous rendre la vie plus belle
25;[ … ]
29;La légèreté et la gaieté sont mes mots d'ordre
31;Je veux que mes chansons vous fassent battre le cœur
33;Si parfois vous vous sentez offensé, je m'en excuse
35;Ce n'est pas ma volonté, je veux juste vous amuser, vous distraire
37;Dans mes chansons joyeuses, venez vous émerveiller
39;Il n'y a pas de limites, laissez-vous emporter
41;Je veux juste répandre la bonne humeur autour de moi
43;Sans aucune intention de nuire, juste de vous rendre la vie plus belle
45;[ solo ]
53;Dans mes chansons joyeuses, venez vous émerveiller
55;Il n'y a pas de limites, laissez-vous emporter
57;Je veux juste répandre la bonne humeur autour de moi
59;Sans aucune intention de nuire, juste de vous rendre la vie plus belle
61;[outro]
63;
